file,recovery,drop
0d4db2c6-1795-4e37-bb05-f67f238bb483,"[[2298.1630555555557, 2398.9513888888887], [2591.0852777777777, 2708.956388888889]]","[[403.2463888888889, 1207.9280555555556], [1392.4141666666667, 2298.1630555555557], [2398.9513888888887, 2559.6430555555557], [2708.956388888889, 2923.4283333333333], [21764.97527777778, 22227.385833333334]]"
0d993ced-dbd8-4079-bacf-a0b300480da8,"[[697.3194444444445, 1942.815], [11644.93638888889, 12197.375]]","[[12197.375, 13302.97], [15652.9475, 15835.750555555556]]"
0dc47ae5-27a7-4396-8d50-59cfba97dc62,[],"[[32.147777777777776, 292.69444444444446]]"
0dcd5146-cdec-47ed-a00e-89b9e96aa90d,[],[]
0e13e5c8-a6ee-4fce-ae02-cc84b29f2290,[],[]
0e30215f-d62a-45f5-8a8c-d35f6c6f59ad,[],[]
0e45834b-71c4-4ad3-9255-a71e9bd4a387,[],"[[0.0, 3491.8255555555556]]"
0e543536-eb92-4b27-a639-631033461fb0,[],[]
0e589fba-2b7c-407f-902f-180fdc041319,[],[]
0e6a94f9-018f-438a-821e-fb51d4ed6f7b,[],"[[5879.942777777777, 6808.895277777778]]"
0e7bc095-559e-4b0b-b727-c7103744ec3c,[],"[[3375.7205555555556, 5016.078333333333]]"
0ea90951-4f6d-466b-ade1-303a2f7a9366,[],[]
0eb10cd0-4778-4477-ad62-b11563aadde9,[],[]
0ebd4d71-c8d4-42bb-8da1-391189f56843,[],"[[3607.4738888888887, 3826.921388888889]]"
0ee8eafa-67df-4ab6-a7b4-10dfd4d3b830,[],"[[4780.188055555555, 4995.314166666667]]"
0f34b2fd-bfe5-4aa5-951f-39bb8deae8b1,[],"[[3730.9980555555558, 3826.4983333333334]]"
0f553a1e-e926-4564-878d-ceb3d1f2349e,[],"[[0.0, 839.6666666666666]]"
0f9aadfe-dc72-42e5-9194-e397d6ac2a93,[],[]
0fba8e5b-33df-435c-9870-b55c4000536a,[],"[[1.1077777777777778, 270.6744444444444]]"
0fc2945b-ca39-4616-a390-8a2c7a7b01ef,[],"[[4987.77, 5059.718333333333]]"
0fee1ba0-8eeb-4ca0-acfc-5f363005a543,[],[]
1a184812-f6e0-44cf-b45c-0f9a9e0aca81,"[[8185.706666666667, 8227.13]]","[[8227.13, 8624.936666666666]]"
1a49a987-b806-4443-b2da-455fff08b293,[],"[[5577.519444444444, 5806.890833333333]]"
1a58b598-98cc-4b74-b33b-36445186cab1,[],[]
1a59cef2-4b41-432e-90fa-7db8e965e35b,[],[]
1a70ce63-c8d7-4a25-ad3f-4ecfb10814d5,[],"[[6325.948055555556, 6350.296666666667]]"
1abd2075-2c72-445c-bd41-523e41914274,[],[]
1ac6ec34-2f18-4cf9-b972-aff80d8f7c2b,[],[]
1af5e0ef-715a-4d6f-84ad-390fbf80a125,[],"[[2326.1016666666665, 2490.7105555555554]]"
1b1f4181-8dea-45a2-a0bd-e130c5273920,[],"[[12718.174444444445, 13356.035]]"
1b3ce9f9-11d6-4600-91c1-c15854df23cf,[],"[[3607.4738888888887, 3826.921388888889]]"
1b438416-aa1b-4613-8ac9-e2026a37958d,[],[]
1b8d70c2-a094-41f7-bb46-836d1a61ac24,[],"[[0.0, 648.9155555555556]]"
1bb8ec85-482b-417a-a708-73e7c0baf55a,[],[]
1bdbd848-fb85-4978-97d8-23fab1e46853,[],"[[0.0, 34.69]]"
1bfbdc37-48e0-489e-a67d-c4523f2c91ac,[],[]
1c0e8d10-ba4a-499f-8159-bde6dc70b1c8,[],"[[0.0, 1104.0]]"
1c17a84f-a6b4-4df6-924e-f96690180ebf,"[[2361.4441666666667, 3406.0391666666665], [6923.262777777778, 7145.1738888888885]]","[[7145.1738888888885, 7315.887777777778]]"
1c31f7e6-c737-4afa-923b-8e89f25fa6cf,[],"[[0.0, 156.51666666666668]]"
1c565fd4-b9ec-4c59-a2c0-1a5b8c1361d0,"[[2961.8175, 3498.2294444444447]]","[[3498.2294444444447, 5967.544166666667], [12060.458055555555, 12209.724444444444]]"
1c68f939-635f-463e-81ec-d3d73fb49d5d,[],"[[261.48555555555555, 273.3952777777778]]"
1c890468-db6f-427e-b0c2-4b16a54cca81,[],"[[0.0, 443.4125]]"
1c9db047-e335-46ac-8039-effd8589b25b,"[[329.5966666666667, 341.3513888888889], [2354.8902777777776, 2386.119166666667]]","[[341.3513888888889, 2087.836388888889], [2386.119166666667, 2857.6280555555554]]"
1ca62f06-d317-441f-84fc-9ec39ee7fce7,[],"[[0.0, 33.5025]]"
1cb3ad48-cb63-4818-ac4f-9831d0336863,[],[]
1cb91314-2c80-490d-8ed1-916720ba6d41,[],[]
1cbce6e5-9f0b-419f-9527-7add4e255217,"[[3187.110277777778, 3637.1241666666665]]","[[3637.1241666666665, 3768.15], [7493.516666666666, 7621.344166666667], [8212.129166666668, 8590.413888888888]]"
1cd4a74a-d7a9-4660-8b55-033a1d0a5892,[],[]
1cd75aaa-0732-4791-a0ca-022b0cfbb0a1,[],"[[5878.4944444444445, 6808.0008333333335]]"
1ce2f548-606d-492b-8dae-c1c0913d6c8c,"[[6.833055555555555, 151.225]]",[]
1ced674f-111f-4f68-920b-906f87ade09f,"[[7396.016666666666, 7474.016666666666], [19490.8, 20158.933055555557]]",[]
1d3c13e9-0e1b-4291-9dcc-16507663ebf8,"[[2738.6705555555554, 2762.6094444444443]]","[[5060.366666666667, 5827.683333333333]]"
1d4741c1-9665-483b-9472-475b4dce5fe8,[],"[[5481.013055555555, 5580.6883333333335]]"
1d8f7786-2b1a-4b9b-b543-c4551506a982,[],"[[11.231944444444444, 348.5775]]"
1d94d884-9754-44e7-bd04-51f1e629f358,[],[]
1dc54423-23b8-4bbf-9381-6e9acf9cccc4,[],[]
1deeb502-bbec-439a-a049-1601bc3cfcd8,"[[4406.5216666666665, 4452.418333333333]]","[[4527.859166666667, 4554.343055555555], [9054.826944444445, 9440.829444444444], [9447.818333333333, 10115.365]]"
1dfaf03c-e297-4d92-a0bf-40b1a829391f,[],[]
1e149fbd-41c6-4779-b87d-c5dc17fbb4c0,[],"[[0.0, 635.3127777777778]]"
1e19b77c-8a0e-4749-a384-9c1e679035bf,[],[]
1e4b4c18-1e32-45eb-917a-5760e33fbaca,"[[9541.77638888889, 10288.5075]]","[[10339.343055555555, 10739.613055555556], [13117.664444444445, 13194.01638888889]]"
1e7f7ecb-a6a7-40ef-9d1c-48aa96eb6c38,[],[]
