file,recovery,drop
627507d6-b21b-4a3e-9118-768d2ee3d81e,"[[2278.808333, 2346.939722], [3136.3625, 3420.3275]]","[[2655.335, 3053.479722]]"
62ace5dd-525c-4a7a-9463-080e8abef19d,"[[3398.0, 3462.016667], [3528.016667, 3590.0], [3758.016667, 3802.016667], [3964.0, 4004.016667], [5914.016667, 5958.016667], [6250.0, 6382.016667]]","[[3464.016667, 3526.0], [3592.016667, 3752.016667], [3900.016667, 3962.0], [4006.016667, 4066.016667], [6006.016667, 6058.016667], [6596.016667, 6800.016667]]"
63cd28dc-ded4-4aca-8f10-09d76be673d1,"[[2360.09, 2883.008056]]","[[3517.968056, 3617.039167], [9039.364444, 9218.988056], [10575.648333, 10624.94]]"
6951f347-3d7a-42fd-8668-d24c6853c23a,"[[2336.421389, 3344.872778]]",[]
69e7e0fa-734a-465a-8de3-829b9b3dee7a,"[[11720.29, 12191.7975]]",[]
6a6a609a-088c-4853-b129-3c93b5ab95ca,"[[455.649722, 650.03]]","[[1224.455, 1704.516389]]"
6b132b91-c5f9-4fd0-b8f0-22d2d9b3fbc1,"[[638.351667, 948.285556]]","[[962.974167, 1178.567222]]"
6ce2eacf-3a1e-4622-b288-06228d79fedc,"[[405.225, 427.541944], [2360.324444, 2908.348889], [4188.180556, 4239.500556], [4890.441389, 4919.923611], [5246.416944, 5286.802222]]","[[591.450278, 1142.310556], [3493.326944, 3604.471667], [4240.265833, 4345.923333], [4756.971944, 4773.178889], [5014.224167, 5214.289167], [5287.123333, 5724.171389]]"
6dbc34fc-4e94-4d56-9cff-2e3087d702ae,"[[134.005278, 225.028056], [8566.138056, 8696.0575], [11793.453611, 12351.849444]]","[[1277.160278, 1291.596111], [8697.380556, 9057.936111], [12489.614722, 12532.736667]]"
7dc0adee-fbfb-46a0-803d-54275561d1eb,"[[708.17, 1224.978611], [11166.701111, 11400.180556]]","[[1503.9725, 1745.603889], [4137.612222, 4293.626111], [12255.248333, 12479.643333]]"
7e07c834-456a-4ab2-8779-ab58d2888716,"[[11694.794444, 12214.81]]","[[12220.913056, 12856.966389]]"
837241ab-62c5-437c-a78b-ebecb64b9905,"[[11129.285278, 12331.902778]]","[[244.430278, 2033.187778], [3228.337222, 3266.520833], [12333.925278, 12493.529722], [12643.972222, 12676.375]]"
8ed3816e-4a3f-41c1-9682-3c0f116827eb,"[[3272.937222, 3590.395278], [7415.208889, 7438.599167], [7458.548611, 7465.163333], [7834.228889, 7862.210833], [8022.232778, 8061.452222], [8131.047778, 8420.239722], [8588.428611, 8604.8475], [9073.418333, 9100.646944]]","[[3609.530556, 4139.039444], [7438.755, 7458.397222], [7465.381389, 7623.813333], [7862.391389, 7988.503611], [8078.865, 8130.943611], [8441.600278, 8562.763611], [8605.033889, 8972.638056], [9100.864444, 9291.454444]]"
